*Line,锦屏-苏南±800kv特高压输电线路,Z30303
*Parts,81
*Part, Head, 1,        Z30303直线塔地线支架-1,            Z30303-01
*Node,70
         1,  12950.000000,   2620.000000,  77100.000000
      47,      12,      36,     -0.000000,      0.869065,      0.494698,  Q345,    L100x8
      48,      36,      20,     -0.000000,      0.869065,      0.494698,  Q345,    L100x8
      49,      37,      17,      0.000000,      0.869065,     -0.494698,  Q345,     L75x5
      50,      18,      38,      0.000000,      0.869065,     -0.494698,  Q345,     L75x5
      51,      39,      19,      0.000000,     -0.869065,     -0.494698,  Q345,     L75x5
      52,      20,      40,      0.000000,     -0.869065,     -0.494698,  Q345,     L75x5
      53,      21,      37,     -0.000000,     -0.869065,      0.494698,  Q345,     L50x5
      54,      38,      22,     -0.000000,     -0.869065,      0.494698,  Q345,     L50x5
      55,      23,      39,     -0.000000,      0.869065,      0.494698,  Q345,     L50x5
      56,      40,      24,     -0.000000,      0.869065,      0.494698,  Q345,     L50x5
      57,      41,      21,      0.000000,      0.869065,     -0.494698,  Q345,     L63x5
      58,      22,      42,      0.000000,      0.869065,     -0.494698,  Q345,     L63x5
      59,      43,      23,      0.000000,     -0.869065,     -0.494698,  Q345,     L63x5
      60,      24,      44,      0.000000,     -0.869065,     -0.494698,  Q345,     L63x5
      61,      25,      41,     -0.000000,     -0.869065,      0.494698,  Q345,     L50x5
      62,      42,      26,     -0.000000,     -0.869065,      0.494698,  Q345,     L50x5
      63,      27,      43,     -0.000000,      0.869065,      0.494698,  Q345,     L50x5
      64,      44,      28,     -0.000000,      0.869065,      0.494698,  Q345,     L50x5
      65,       5,      25,      0.000000,      0.869065,     -0.494698,  Q345,     L63x5
      66,      26,       6,      0.000000,      0.869065,     -0.494698,  Q345,     L63x5
      67,       7,      27,      0.000000,     -0.869065,     -0.494698,  Q345,     L63x5
      68,      28,       8,      0.000000,     -0.869065,     -0.494698,  Q345,     L63x5
      69,       5,      29,      0.000000,      0.869065,     -0.494698,  Q345,     L56x5
      70,      30,       6,      0.000000,      0.869065,     -0.494698,  Q345,     L56x5
      71,       7,      31,      0.000000,     -0.869065,     -0.494698,  Q345,     L56x5
      72,      32,       8,      0.000000,     -0.869065,     -0.494698,  Q345,     L56x5
      73,       1,      59,     -0.698100,     -0.000000,      0.716000,  Q345,     L75x5
      74,      59,      51,     -0.698100,     -0.000000,      0.716000,  Q345,     L75x5
      75,      51,      68,     -0.698100,     -0.000000,      0.716000,  Q345,     L75x5
      76,      68,      28,     -0.698100,     -0.000000,      0.716000,  Q345,     L75x5
      77,      27,      67,      0.698100,     -0.000000,      0.716000,  Q345,     L75x5
      78,      67,      52,      0.698100,     -0.000000,      0.716000,  Q345,     L75x5
      79,      52,      60,      0.698100,     -0.000000,      0.716000,  Q345,     L75x5
      80,      60,       2,      0.698100,     -0.000000,      0.716000,  Q345,     L75x5
      81,      26,      66,     -0.698100,      0.000000,     -0.716000,  Q345,     L75x5
      82,      66,      52,     -0.698100,      0.000000,     -0.716000,  Q345,     L75x5
      83,      52,      61,     -0.698100,      0.000000,     -0.716000,  Q345,     L75x5
      84,      61,       3,     -0.698100,      0.000000,     -0.716000,  Q345,     L75x5
      85,       4,      62,      0.698100,      0.000000,     -0.716000,  Q345,     L75x5
      86,      62,      51,      0.698100,      0.000000,     -0.716000,  Q345,     L75x5
      87,      51,      65,      0.698100,      0.000000,     -0.716000,  Q345,     L75x5
      88,      65,      25,      0.698100,      0.000000,     -0.716000,  Q345,     L75x5
      89,      25,      53,     -0.698100,     -0.000000,      0.716000,  Q345,     L56x4
      90,      53,      24,     -0.698100,     -0.000000,      0.716000,  Q345,     L56x4
      91,      23,      54,      0.698100,     -0.000000,      0.716000,  Q345,     L56x4
      92,      54,      26,      0.698100,     -0.000000,      0.716000,  Q345,     L56x4
      93,      22,      54,     -0.698100,      0.000000,     -0.716000,  Q345,     L56x4
      94,      54,      27,     -0.698100,      0.000000,     -0.716000,  Q345,     L56x4
      95,      28,      53,      0.698100,      0.000000,     -0.716000,  Q345,     L56x4
      96,      53,      21,      0.698100,      0.000000,     -0.716000,  Q345,     L56x4
      97,      21,      55,     -0.698100,     -0.000000,      0.716000,  Q345,     L50x4
      98,      55,      20,     -0.698100,     -0.000000,      0.716000,  Q345,     L50x4
      99,      19,      56,      0.698100,     -0.000000,      0.716000,  Q345,     L50x4
     100,      56,      22,      0.698100,     -0.000000,      0.716000,  Q345,     L50x4
     101,      18,      56,     -0.698100,      0.000000,     -0.716000,  Q345,     L50x4
     102,      56,      23,     -0.698100,      0.000000,     -0.716000,  Q345,     L50x4
     103,      24,      55,      0.698100,      0.000000,     -0.716000,  Q345,     L50x4
     104,      55,      17,      0.698100,      0.000000,     -0.716000,  Q345,     L50x4
     105,      17,      57,     -0.698100,     -0.000000,      0.716000,  Q345,     L50x5
     106,      57,      16,     -0.698100,     -0.000000,      0.716000,  Q345,     L50x5
     107,      15,      58,      0.698100,     -0.000000,      0.716000,  Q345,     L50x5
     108,      58,      18,      0.698100,     -0.000000,      0.716000,  Q345,     L50x5
     109,      14,      58,     -0.698100,      0.000000,     -0.716000,  Q345,     L50x5
     110,      58,      19,     -0.698100,      0.000000,     -0.716000,  Q345,     L50x5
     111,      20,      57,      0.698100,      0.000000,     -0.716000,  Q345,     L50x5
     112,      57,      13,      0.698100,      0.000000,     -0.716000,  Q345,     L50x5
     113,      13,      16,     -0.698100,     -0.000000,      0.716000,  Q345,     L56x5
     114,      15,      14,      0.698100,     -0.000000,      0.716000,  Q345,     L56x5
     115,      17,      20,      0.698100,      0.000000,     -0.716000,  Q345,     L50x4
     116,      19,      18,     -0.698100,      0.000000,     -0.716000,  Q345,     L50x4
     117,      59,      65,     -0.698100,     -0.000000,      0.716000,  Q345,     L40x4
     118,      66,      60,      0.698100,     -0.000000,      0.716000,  Q345,     L40x4
     119,      61,      67,      0.698100,     -0.000000,      0.716000,  Q345,     L40x4
     120,      68,      62,     -0.698100,     -0.000000,      0.716000,  Q345,     L40x4
     121,      65,      29,      0.698100,      0.000000,     -0.716000,  Q345,     L40x4
     122,      30,      66,     -0.698100,      0.000000,     -0.716000,  Q345,     L40x4
     123,      67,      31,     -0.698100,      0.000000,     -0.716000,  Q345,     L40x4
     124,      32,      68,      0.698100,      0.000000,     -0.716000,  Q345,     L40x4
     125,      29,      59,     -0.698100,     -0.000000,      0.716000,  Q345,     L40x4
     126,      60,      30,      0.698100,     -0.000000,      0.716000,  Q345,     L40x4
     127,      31,      61,      0.698100,     -0.000000,      0.716000,  Q345,     L40x4
     128,      62,      32,     -0.698100,     -0.000000,      0.716000,  Q345,     L40x4
     129,       5,      45,     -0.913803,     -0.000000,      0.406157,  Q345,     L75x5
     130,      45,      44,     -0.913803,     -0.000000,      0.406157,  Q345,     L75x5
     131,      43,      46,      0.913803,     -0.000000,      0.406157,  Q345,     L75x5
     132,      46,       6,      0.913803,     -0.000000,      0.406157,  Q345,     L75x5
