*Line, ����Ͽ�糧~ĵ����500kV��·����,SZJ
*Parts,18
*Part, Head, 1,     SZJ双回路直线转角塔右�?      S2701S-T0307-01
*Node,56
         1,   1442.857143,   1442.857143,  58690.476190
      44,      23,      26,      0.112390,     -0.000000,     -0.993664,  Q345,     L50x5
      45,      26,       6,      0.112390,     -0.000000,     -0.993664,  Q345,     L50x5
      46,      22,      26,     -0.112390,      0.000000,      0.993664,  Q345,     L50x5
      47,      26,       7,     -0.112390,      0.000000,      0.993664,  Q345,     L50x5
      48,      24,      27,      0.112390,     -0.000000,     -0.993664,  Q345,     L63x5
      49,      27,       7,      0.112390,     -0.000000,     -0.993664,  Q345,     L63x5
      50,      23,      27,     -0.112390,      0.000000,      0.993664,  Q345,     L63x5
      51,      27,       8,     -0.112390,      0.000000,      0.993664,  Q345,     L63x5
      52,      21,      28,      0.112390,     -0.000000,     -0.993664,  Q345,     L50x5
      53,      28,       8,      0.112390,     -0.000000,     -0.993664,  Q345,     L50x5
      54,      24,      28,     -0.112390,      0.000000,      0.993664,  Q345,     L50x5
      55,      28,       4,     -0.112390,      0.000000,      0.993664,  Q345,     L50x5
      56,      30,      32,      0.112390,     -0.000000,     -0.993664,  Q345,     L40x4
      57,      32,       4,      0.112390,     -0.000000,     -0.993664,  Q345,     L40x4
      58,      21,      32,     -0.112390,      0.000000,      0.993664,  Q345,     L40x4
      59,      32,      14,     -0.112390,      0.000000,      0.993664,  Q345,     L40x4
      60,      31,      33,      0.112390,     -0.000000,     -0.993664,  Q345,     L40x4
      61,      33,      14,      0.112390,     -0.000000,     -0.993664,  Q345,     L40x4
      62,      30,      33,     -0.112390,      0.000000,      0.993664,  Q345,     L40x4
      63,      33,      15,     -0.112390,      0.000000,      0.993664,  Q345,     L40x4
      64,      29,      34,      0.112390,     -0.000000,     -0.993664,  Q345,     L40x4
      65,      34,      15,      0.112390,     -0.000000,     -0.993664,  Q345,     L40x4
      66,      31,      34,     -0.112390,      0.000000,      0.993664,  Q345,     L40x4
      67,      34,       5,     -0.112390,      0.000000,      0.993664,  Q345,     L40x4
      68,      35,      37,      0.000000,      0.000000,     -1.000000,  Q345,     L90x7
      69,      37,      38,      0.000000,      0.000000,     -1.000000,  Q345,     L90x7
      70,      38,      39,      0.000000,      0.000000,     -1.000000,  Q345,     L90x7
      71,      39,      36,      0.000000,      0.000000,     -1.000000,  Q345,     L90x7
      72,      36,      40,      0.000000,      0.000000,     -1.000000,  Q345,     L90x7
      73,      40,      41,      0.000000,      0.000000,     -1.000000,  Q345,     L90x7
      74,      41,      29,      0.000000,      0.000000,     -1.000000,  Q345,     L90x7
      75,       9,      42,     -0.000000,     -0.000000,      1.000000,  Q345,     L45x4
      76,      42,      35,     -0.000000,     -0.000000,      1.000000,  Q345,     L45x4
      77,       2,      42,      0.000000,      0.000000,     -1.000000,  Q345,     L45x4
      78,      42,      37,      0.000000,      0.000000,     -1.000000,  Q345,     L45x4
      79,      10,      43,     -0.000000,     -0.000000,      1.000000,  Q345,     L45x4
      80,      43,      37,     -0.000000,     -0.000000,      1.000000,  Q345,     L45x4
